# Heizkreis 2;class;cmd;comment;msg type: 1=BROAD, 2=MM, 3=MS;ZZ;PBSB;NN;D1D2D3;data len;position;datatype;factor;unit;comment details;GA/KNX;DPT/KNX
set;ci;language;Sprachvariante;3;15;B509;04;0E2600;1;1;bcd;1;-;;;
#set;ci;holiday_period;Ferienzeitraum;3;15;B509;0F;0E4300;-;-;-;-;-;;;
#set;ci;holiday_cir2_temp;Heizkreis-Solltemperatur Ferien;3;15;B509;05;0E2200;-;-;-;-;°C;;;
set;ci;password_pin1;Passwort Konfiguration;3;15;B509;07;0E2C00;1;1;bcd;1;-;1;;
set;ci;hw_wait_time;WW-Zeit max. bei Heizanforderung;3;15;B509;04;0E4C00;1;1;d1b;1;-;5-40 Minuten;;
#set;ci;temp_camber;Temperaturüberhöhung;3;15;B509;05;0E2F00;-;-;-;-;°C;;;
set;ci;pre_off_time;Vorabschaltzeit (Minuten);3;15;B509;04;0E2D00;1;1;bcd;1;-;;;
set;ci;freeze_wait;Frostschutz-Verzögerung (Stunden);3;15;B509;04;0E2E00;1;1;bcd;1;-;;;
set;ci;temp_error;Temperaturfehlererkennung;3;15;B509;04;0E3300;1;1;bcd;1;-;;;
set;ci;boiler;Pufferspeicher vorhanden;3;15;B509;04;0E5C00;1;1;bcd;1;-;0=Nein 1=Ja;;
#set;ci;yield_transfer;MitternachtÜbertragswert Energieertrag;3;15;B509;07;0E8600;-;-;-;-;kWh;;;
set;ci;hw_heat_time;Heizzeit max. bei WW-Anforderung;3;15;B509;04;0E4D00;1;1;d1b;1;min;5-40 Minuten;;
set;cir2;curve;Heizkurve Ã¤ndern;3;50;B509;05;0E3500;2;1,2;d2b;1;min;;;
#AMU Zusatzheizung;;;;;;;;;;;;;;;;
#set;amu;zh;FIXME !!!;-;-;-;-;-;;;-;;-;;;
set;amu;zh_bivalent;Zusatzheizung - Bivalenzpunkt;3;08;B509;05;0E6500;2;1,2;d2c;1;°C;;;
set;amu;zh_hysterese;Zusatzheizung/ Hysterese;3;08;B509;05;0E7E00;2;1,2;d2c;1;K;;;
set;amu;zh_hys_delay;Zusatzheizung/ Verzögerung Hysterese ;3;08;B509;04;0EE001;1;1;d1b;1;min;;;
#set;amu;zh_EI;Zusatzheizung/ EnergieIntegral;3;08;B509;05;0E7F00;-;-;-;-;min;;;
set;amu;zh_heating;Zusatzheizung/ Heizung;3;08;B509;04;0E6300;1;1;bcd;1;-;0=aus 1=mit 2=nur;;
set;amu;zh_water;Zusatzheizung/ WarmWasser;3;08;B509;04;0E6400;1;1;bcd;1;-;0=aus 1=mit 2=nur;;
#AMU Kompressor;;;;;;;;;;;;;;;;
set;amu;comp_hysteres;Kompressor/ Hysterese;3;08;B509;05;0E7D00;2;1,2;d2c;1;°C;;;
#set;amu;comp_energy_int;Kompressor  - EnergieIntegral;3;08;B509;05;0E7C00;-;-;-;-;-;;;
set;amu;comp_start_hour;Kompressor/ Starts pro Stunde;3;08;B509;04;0E7400;1;1;bcd;1;-;;;
set;amu;comp_max_in;Kompressor  - max. Rücklauftemperatur;3;08;B509;05;0E7300;2;1,2;d2c;1;°C;;;
#AMU Quelle;;;;;;;;;;;;;;;;
